TimeStamp,Count
20131102,7515
20131103,8305
20131104,8513
20131105,8324
20131106,7576
20131107,4262
20131108,4309
20131109,7712
20131110,8310
20131111,8450
20131112,8281
20131113,7097
20131114,3916
20131115,4083
20131116,7341
20131117,7968
20131118,7989
20131119,7766
20131120,6455
20131121,3557
20131122,3576
20131123,5893
20131124,4854
20131125,3236
20131126,5162
20131127,5511
20131128,3624
20131129,3619
20131130,5967
20131131,4693
20140001,3273
20140002,6474
20140003,6823
20140004,4470
20140005,4175
20140006,7109
20140007,7854
20140008,8545
20140009,8349
20140010,7827
20140011,4315
20140012,4216
20140013,7619
20140014,7849
20140015,8399
20140016,8562
20140017,7874
20140018,4579
20140019,4347
20140020,7798
20140021,8544
20140022,8877
20140023,8817
20140024,7771
20140025,4582
20140026,4600
20140027,8191
20140028,8807
20140029,9017
20140030,8663
20140031,7636
20140101,4504
20140102,4479
20140103,7853
20140104,8789
20140105,9029
20140106,9109
20140107,8225
20140108,4716
20140109,4882
20140110,8591
20140111,9185
20140112,9397
20140113,8972
20140114,8042
20140115,4815
20140116,4703
20140117,8331
20140118,9258
20140119,9632
20140120,9558
20140121,8734
20140122,5072
20140123,5036
20140124,9075
20140125,9434
20140126,9735
20140127,9673
20140128,8738
20140201,4969
20140202,4831
20140203,8546
20140204,9290
20140205,9804
20140206,9665
